REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tmpgnqo0sdf.wav	 /tmp/tmparx1t7y7.wav	 -1.000	 1.171	 16000	wb
/tmp/tmp5nbf0jdo.wav	 /tmp/tmp21o4j0ud.wav	 -1.000	 1.707	 16000	wb
/tmp/tmp469_60ht.wav	 /tmp/tmpff3m43cg.wav	 -1.000	 1.437	 16000	wb
/tmp/tmpq4bwzqyt.wav	 /tmp/tmp6rde8eo1.wav	 -1.000	 1.233	 16000	wb
/tmp/tmpuvsllsny.wav	 /tmp/tmpw_zx_cf6.wav	 -1.000	 1.787	 16000	wb
/tmp/tmp_opvi6u4.wav	 /tmp/tmpxzzjsrhm.wav	 -1.000	 2.781	 16000	wb
/tmp/tmpme418_ha.wav	 /tmp/tmpxo75y6fg.wav	 -1.000	 1.976	 16000	wb
/tmp/tmpc48c2za6.wav	 /tmp/tmpn4m0yxix.wav	 -1.000	 1.322	 16000	wb
/tmp/tmpz_9zxalx.wav	 /tmp/tmpaw6cth09.wav	 -1.000	 1.372	 16000	wb
/tmp/tmpt18xckql.wav	 /tmp/tmp48r3x18k.wav	 -1.000	 1.076	 16000	wb
/tmp/tmp1n7ci_y3.wav	 /tmp/tmpxgksave4.wav	 -1.000	 1.102	 16000	wb
/tmp/tmpi16qkw15.wav	 /tmp/tmpk3t53dpi.wav	 -1.000	 1.215	 16000	wb
/tmp/tmphmhmz2k1.wav	 /tmp/tmpngu3or0u.wav	 -1.000	 1.366	 16000	wb
/tmp/tmpk9ye7vd3.wav	 /tmp/tmpa07tvlj_.wav	 -1.000	 1.062	 16000	wb
/tmp/tmpncxyq7wi.wav	 /tmp/tmpyr5i08j_.wav	 -1.000	 1.367	 16000	wb
/tmp/tmps8d7llw8.wav	 /tmp/tmp5r_j3pm8.wav	 -1.000	 1.024	 16000	wb
/tmp/tmpi0cxb8rx.wav	 /tmp/tmprvzqi63h.wav	 -1.000	 1.411	 16000	wb
/tmp/tmp2o8h3v65.wav	 /tmp/tmp4n76jmwh.wav	 -1.000	 1.662	 16000	wb
/tmp/tmpv9_u5bwo.wav	 /tmp/tmp4d9busfg.wav	 -1.000	 1.621	 16000	wb
/tmp/tmp2thhc060.wav	 /tmp/tmpsufcih2f.wav	 -1.000	 1.470	 16000	wb
/tmp/tmp547ott_5.wav	 /tmp/tmphxxhynsp.wav	 -1.000	 1.214	 16000	wb
/tmp/tmp3wfvt4os.wav	 /tmp/tmpqjro43cf.wav	 -1.000	 1.131	 16000	wb
/tmp/tmp0ojndhpu.wav	 /tmp/tmp0g_kzpez.wav	 -1.000	 1.309	 16000	wb
/tmp/tmp7pvdv2zc.wav	 /tmp/tmpn3tnkfu4.wav	 -1.000	 1.138	 16000	wb
/tmp/tmp48c80vi7.wav	 /tmp/tmpc0_nap0a.wav	 -1.000	 1.096	 16000	wb
/tmp/tmp9j678lrp.wav	 /tmp/tmpivu17lxc.wav	 -1.000	 1.319	 16000	wb
/tmp/tmpposk31zr.wav	 /tmp/tmpvsuxuwl8.wav	 -1.000	 1.137	 16000	wb
/tmp/tmpn00ftxwo.wav	 /tmp/tmpk72jgwte.wav	 -1.000	 1.132	 16000	wb
/tmp/tmpow_2uuks.wav	 /tmp/tmpnk0duwho.wav	 -1.000	 1.541	 16000	wb
/tmp/tmp3kmc1jyx.wav	 /tmp/tmptp803stc.wav	 -1.000	 1.127	 16000	wb
/tmp/tmpxdlbj8ae.wav	 /tmp/tmpqitn6s1a.wav	 -1.000	 2.098	 16000	wb
/tmp/tmp70mcsc4_.wav	 /tmp/tmp3xsz0etn.wav	 -1.000	 1.245	 16000	wb
/tmp/tmp0l4tf6os.wav	 /tmp/tmptkkffd28.wav	 -1.000	 1.414	 16000	wb
/tmp/tmp97au7zjd.wav	 /tmp/tmp3bma2aos.wav	 -1.000	 1.208	 16000	wb
/tmp/tmp3vk8ron6.wav	 /tmp/tmpyi28dlk2.wav	 -1.000	 1.431	 16000	wb
/tmp/tmp1figqcs9.wav	 /tmp/tmpiby0hpv7.wav	 -1.000	 1.852	 16000	wb
/tmp/tmpt3ujw36m.wav	 /tmp/tmph70ypbfc.wav	 -1.000	 1.059	 16000	wb
/tmp/tmpt40j9nic.wav	 /tmp/tmp0dxgcrmi.wav	 -1.000	 1.608	 16000	wb
/tmp/tmpwdz4ou_j.wav	 /tmp/tmpyvluyokm.wav	 -1.000	 1.180	 16000	wb
/tmp/tmpd01mp266.wav	 /tmp/tmptgtqd_v0.wav	 -1.000	 1.365	 16000	wb
/tmp/tmpmtgsfvwq.wav	 /tmp/tmpotyxl44y.wav	 -1.000	 2.231	 16000	wb
/tmp/tmpvvw5ezs9.wav	 /tmp/tmpeute_mqw.wav	 -1.000	 1.306	 16000	wb
/tmp/tmpldw0j_wj.wav	 /tmp/tmpqmayw6rz.wav	 -1.000	 1.148	 16000	wb
/tmp/tmp0757o324.wav	 /tmp/tmp48xv4w_w.wav	 -1.000	 1.397	 16000	wb
/tmp/tmp1p3k_in5.wav	 /tmp/tmp8ajy87ko.wav	 -1.000	 2.287	 16000	wb
/tmp/tmp_h_g3pf4.wav	 /tmp/tmpszthnhwu.wav	 -1.000	 1.185	 16000	wb
/tmp/tmp_fqozl9i.wav	 /tmp/tmpbsn84ynn.wav	 -1.000	 1.522	 16000	wb
/tmp/tmp4y0vwqcx.wav	 /tmp/tmpmd96d2ob.wav	 -1.000	 1.083	 16000	wb
/tmp/tmpr86_bsym.wav	 /tmp/tmpgc7xuy0y.wav	 -1.000	 1.130	 16000	wb
/tmp/tmpkyj1d_nh.wav	 /tmp/tmp0b90d1_9.wav	 -1.000	 1.733	 16000	wb
/tmp/tmplys_bo20.wav	 /tmp/tmp22jnh94u.wav	 -1.000	 1.128	 16000	wb
/tmp/tmpedwi5tuc.wav	 /tmp/tmp2c4w67ur.wav	 -1.000	 1.701	 16000	wb
/tmp/tmp1dw9j9e_.wav	 /tmp/tmp961d92yh.wav	 -1.000	 1.064	 16000	wb
/tmp/tmpe_h94i5l.wav	 /tmp/tmp_nks32k9.wav	 -1.000	 1.257	 16000	wb
/tmp/tmpgszl8cg8.wav	 /tmp/tmpiquptb7n.wav	 -1.000	 1.313	 16000	wb
/tmp/tmp09paj5z7.wav	 /tmp/tmpewza15en.wav	 -1.000	 1.260	 16000	wb
/tmp/tmpr2qjhoqv.wav	 /tmp/tmp66far1tv.wav	 -1.000	 1.485	 16000	wb
/tmp/tmp57_pxthe.wav	 /tmp/tmpqgwyuey4.wav	 -1.000	 1.034	 16000	wb
/tmp/tmp760w0f5s.wav	 /tmp/tmp51c5069t.wav	 -1.000	 2.119	 16000	wb
/tmp/tmpifolriy_.wav	 /tmp/tmpkp5k2drp.wav	 -1.000	 1.103	 16000	wb
/tmp/tmp83fmxm5c.wav	 /tmp/tmp6lyeq4_t.wav	 -1.000	 1.603	 16000	wb
/tmp/tmpdp6n5nfx.wav	 /tmp/tmpxgx17v5i.wav	 -1.000	 1.143	 16000	wb
/tmp/tmph0ljfccl.wav	 /tmp/tmpgacl963j.wav	 -1.000	 1.084	 16000	wb
/tmp/tmpkmlw6obv.wav	 /tmp/tmp3anys44y.wav	 -1.000	 1.606	 16000	wb
/tmp/tmp9wss_vme.wav	 /tmp/tmp7qkqup81.wav	 -1.000	 1.924	 16000	wb
